,pcd7,Large User,Total households,Population aged 65+,Females,Females aged 5-9,Females aged 65-69,Females aged 65+,Females aged 70-74,Females aged 75-79,Females aged 80-84,Females aged 85-89,Females aged 90-94,Females aged 95_99,Females aged 100+,Males,Males aged 5-9,Males aged 65-69,Males aged 65+,Males aged 70-74,Males aged 75-79,Males aged 80-84,Males aged 85-89,Males aged 90-94,Males aged 95-99,Males aged 100+,Females aged under 25,Females aged 25-44,Females aged 45-65,Males aged under 25,Males aged 25-44,Males aged 45-65,PC_Area,Target,Mean Income,Median Income,Mode Income,Lower Quartile
32,NW15AB,0,28,6,23,1,1,3,1,1,0,0,0,0,0,25,1,1,3,1,0,1,0,0,0,0,6,8,5,5,10,6,NW,0,64900,57532.05128,110000,36716.86747
33,NW15AD,0,17,4,14,1,0,2,1,1,0,0,0,0,0,18,1,0,2,1,0,1,0,0,0,0,3,4,4,4,6,5,NW,0,63200,55789.47368,110000,35576.92308
34,NW15AE,0,35,11,35,2,1,5,1,2,1,0,0,0,0,43,2,1,6,1,1,3,0,0,0,0,8,12,8,10,17,8,NW,0,59400,52014.21801,42500,33012.82051
35,NW15AF,0,27,8,25,2,1,4,1,1,0,1,0,0,0,29,1,1,4,1,1,1,0,0,0,0,6,8,5,7,11,6,NW,0,60300,53293.41317,42500,34378.53107
36,NW15AG,0,23,6,23,2,1,3,1,1,0,0,0,0,0,26,1,1,3,1,0,1,0,0,0,0,5,8,5,6,10,6,NW,0,62200,55300.75188,47500,35793.10345
37,NW15AH,0,40,8,32,1,0,2,1,1,0,0,0,0,0,46,1,1,6,1,1,3,0,0,0,0,10,12,7,11,21,7,NW,0,62700,55502.18341,47500,35742.97189
38,NW15AL,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,NW,0,88200,82142.85714,110000,58000
39,NW15AN,0,3,1,4,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,NW,0,48700,43541.66667,32500,28125
40,NW15AQ,0,30,10,25,1,1,5,1,1,0,1,1,0,0,33,1,1,5,1,1,2,0,0,0,0,6,8,5,8,13,6,NW,0,64500,57294.11765,110000,36861.11111
41,NW15AW,0,17,10,18,1,1,4,1,1,0,0,1,0,0,22,1,2,6,1,1,1,1,0,0,0,3,4,6,4,4,7,NW,0,45700,40559.70149,32500,26020.40816
42,NW15AX,0,6,0,5,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,2,2,1,1,5,2,NW,0,53000,46547.61905,32500,29651.16279
43,NW15AY,0,8,3,12,0,0,0,0,0,0,0,0,0,0,16,1,1,3,1,1,0,0,0,0,0,4,5,3,3,5,4,NW,0,49500,42368.42105,32500,26031.74603
44,NW15AZ,0,12,6,19,1,1,1,0,0,0,0,0,0,0,27,1,2,5,1,1,1,0,0,0,0,5,7,5,5,10,6,NW,0,64700,57714.28571,110000,37638.88889
45,NW15BA,0,6,1,10,0,1,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,3,3,3,1,3,3,NW,0,55700,48928.57143,32500,31477.27273
46,NW15BB,0,2,1,5,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,1,NW,0,48900,43333.33333,32500,29705.88235
47,NW15BD,0,6,2,10,0,0,0,0,0,0,0,0,0,0,11,1,1,2,0,1,0,0,0,0,0,3,4,3,1,4,3,NW,0,59200,52631.57895,42500,34000
48,NW15BE,0,13,3,15,0,0,0,0,0,0,0,0,0,0,18,1,1,3,1,1,0,0,0,0,0,4,6,5,3,7,4,NW,0,50100,44455.44554,32500,28700
49,NW15BF,0,61,10,58,3,0,5,0,1,2,1,1,0,0,55,1,0,5,2,0,1,1,1,0,0,13,28,9,14,30,5,NW,0,62100,54946.52406,47500,35503.87597
50,NW15BG,0,11,1,7,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,2,1,1,3,3,NW,0,64600,57380.95238,110000,36969.69697
51,NW15BJ,0,13,3,15,0,0,0,0,0,0,0,0,0,0,19,1,1,3,1,1,0,0,0,0,0,4,6,5,3,7,5,NW,0,58400,51666.66667,42500,33846.15385
52,NW15BL,0,11,4,16,1,0,0,0,0,0,0,0,0,0,24,1,2,4,1,1,0,0,0,0,0,4,7,4,4,9,6,NW,0,53200,45428.57143,32500,27658.22785
53,NW15BN,0,11,5,16,0,1,2,1,0,0,0,0,0,0,17,1,1,3,1,1,0,0,0,0,0,4,6,4,3,7,3,NW,0,48200,41437.5,32500,25833.33333
54,NW15BQ,0,12,5,16,0,1,2,1,0,0,0,0,0,0,17,1,1,3,1,1,0,0,0,0,0,4,6,4,3,7,3,NW,0,63200,55793.65079,110000,34000
55,NW15BR,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,NW,0,23000,20000,17500,13194.44444
56,NW15BU,0,22,7,25,1,1,3,1,1,0,0,0,0,0,28,1,1,4,1,1,1,0,0,0,0,6,6,9,8,7,8,NW,1,32700,27354.36893,17500,16191.33574
57,NW15BY,0,12,5,14,1,1,2,1,0,0,0,0,0,0,15,1,1,3,1,0,0,1,0,0,0,3,4,4,2,4,5,NW,0,36700,31991.52542,22500,20259.25926
58,NW15DA,0,35,6,27,1,1,3,1,1,0,0,0,0,0,31,1,1,3,1,1,0,0,0,0,0,6,9,8,7,11,9,NW,0,32200,27613.33333,17500,17366.16702
59,NW15DB,0,17,4,13,1,1,2,1,0,0,0,0,0,0,13,1,1,2,1,0,0,0,0,0,0,2,4,4,2,4,4,NW,0,34800,30654.7619,17500,19318.18182
60,NW15DD,0,8,0,9,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,4,3,3,4,3,NW,0,38700,34177.21519,22500,21882.35294
61,NW15DE,0,26,6,23,1,1,2,1,0,0,0,0,0,0,28,1,1,4,1,1,1,0,0,0,0,6,6,8,7,8,8,NW,0,41500,35971.56398,22500,22519.68504
62,NW15DF,0,5,0,4,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1,NW,0,31100,26388.88889,17500,16714.28571
63,NW15DP,0,20,5,26,3,1,3,1,1,0,0,0,0,0,41,3,1,2,0,1,0,0,0,0,0,4,10,6,11,13,12,NW,0,52500,46159.42029,32500,29241.37931
64,NW15DR,0,33,10,40,2,2,6,2,1,1,0,0,0,0,42,2,1,4,1,1,1,0,0,0,0,7,10,15,12,11,13,NW,1,30000,22971.24601,12500,12718.05274
65,NW15EA,0,6,2,10,0,0,0,0,0,0,0,0,0,0,11,0,1,2,0,1,0,0,0,0,0,3,5,2,2,5,2,NW,0,48000,42282.6087,32500,26666.66667
66,NW15EB,0,6,1,7,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,3,NW,0,64000,56857.14286,110000,37027.02703
67,NW15ED,0,6,2,8,0,0,2,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,4,1,3,3,2,NW,0,54300,47000,32500,29404.7619
68,NW15EE,0,11,1,12,1,0,0,0,0,0,0,0,0,0,13,0,1,1,0,0,0,0,0,0,0,2,6,3,2,7,3,NW,0,52100,45949.36709,32500,29629.62963
69,NW15EF,0,10,2,9,1,0,0,0,0,0,0,0,0,0,12,0,1,2,1,0,0,0,0,0,0,2,4,2,2,5,3,NW,0,48100,41875,32500,25812.5
70,NW15EG,0,11,1,11,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,4,3,2,5,2,NW,0,54800,48200,32500,30617.28395
71,NW15EH,0,6,1,3,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,NW,0,47800,40465.11628,22500,25196.07843
72,NW15EJ,0,9,1,12,1,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,4,4,2,5,1,NW,0,54000,48076.92308,32500,31176.47059
73,NW15EL,0,11,2,10,0,0,0,0,0,0,0,0,0,0,12,0,1,2,1,0,0,0,0,0,0,3,5,2,2,5,3,NW,0,51200,44683.5443,32500,27926.82927
74,NW15EN,0,6,1,8,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,4,2,3,3,2,NW,0,54800,47073.17073,32500,30000
75,NW15EP,0,6,1,7,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,3,NW,0,49000,43723.40426,32500,28191.48936
76,NW15EQ,0,9,1,9,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,4,2,2,3,2,NW,0,56800,49568.96552,32500,30725.80645
77,NW15ER,0,11,5,17,1,1,2,1,0,0,0,0,0,0,20,0,1,3,1,1,0,0,0,0,0,2,8,4,4,9,4,NW,0,64200,57187.5,110000,37238.80597
78,NW15ES,0,11,5,16,1,1,2,1,0,0,0,0,0,0,19,1,1,3,1,1,0,0,0,0,0,2,7,4,3,8,4,NW,0,69700,62500,110000,41015.625
79,NW15EW,0,6,2,8,0,0,2,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,4,1,3,3,2,NW,0,65900,59444.44444,110000,39428.57143
80,NW15HD,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NW,0,65500,58333.33333,47500,38333.33333
81,NW15HE,0,12,6,15,1,0,3,1,1,0,0,1,0,0,17,2,0,3,2,0,0,0,1,0,0,5,3,3,4,4,4,NW,0,78700,71578.94737,110000,47890.625
82,NW15HF,0,14,7,18,1,1,3,1,1,0,0,0,0,0,20,2,1,4,2,0,0,0,1,0,0,6,4,4,6,4,4,NW,0,74800,67656.25,110000,43750
83,NW15HG,0,14,8,20,2,0,3,1,1,0,0,1,0,0,23,2,1,5,2,0,0,0,2,0,0,5,5,5,6,5,5,NW,0,78500,71940.29851,110000,48266.66667
84,NW15HL,0,13,7,18,1,1,3,1,1,0,0,0,0,0,17,2,0,4,2,0,1,0,1,0,0,6,4,4,5,2,4,NW,0,80900,73467.74194,110000,49420.28986
85,NW15HN,0,28,15,32,3,1,5,1,2,0,0,1,0,0,41,4,1,10,3,1,1,1,3,0,0,9,8,7,10,9,8,NW,0,74500,68035.71429,110000,45812.5
86,NW15JY,0,2,0,3,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,NW,1,63400,57083.33333,42500,37500
87,NW15LG,0,138,32,135,3,6,15,2,0,3,1,1,2,0,140,5,4,17,2,4,2,2,2,1,0,26,64,27,28,70,20,NW,0,65100,57426.66667,110000,36208.17844
88,NW15LL,0,20,6,24,2,1,4,1,1,1,0,0,0,0,20,1,1,2,1,0,0,0,0,0,0,4,8,6,4,9,4,NW,0,68100,60619.04762,110000,38148.14815
89,NW15LQ,0,30,12,37,4,2,7,2,1,2,0,0,0,0,35,4,2,5,1,1,1,0,0,0,0,6,10,10,7,10,9,NW,0,54400,47718.4466,32500,30313.90135
90,NW15NA,0,32,11,41,4,1,5,2,1,1,0,0,0,0,40,4,1,6,2,1,1,1,0,0,0,11,12,9,8,12,10,NW,0,80300,73987.34177,110000,50352.94118
91,NW15NB,0,33,10,42,4,1,4,2,1,0,0,0,0,0,39,4,1,6,2,1,1,1,0,0,0,12,12,10,7,12,10,NW,0,76000,69401.1976,110000,47222.22222
92,NW15ND,0,32,6,36,3,1,3,1,0,0,1,0,0,0,28,3,1,3,1,1,0,0,0,0,0,11,12,7,6,11,5,NW,0,75600,69050.63291,110000,46312.84916
93,NW15NE,0,32,10,42,4,1,5,1,1,1,0,1,0,0,34,4,1,5,1,1,1,1,0,0,0,12,14,7,6,13,6,NW,0,68400,61603.26087,110000,40732.98429
94,NW15NF,0,5,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,NW,1,56900,48648.64865,32500,32500
95,NW15NP,0,59,13,66,3,3,8,1,1,1,2,0,0,0,64,3,1,5,1,1,1,0,1,0,0,16,23,16,10,31,15,NW,0,56400,49536.34085,32500,31450.83933
96,NW15NR,0,36,8,78,1,1,4,0,0,0,2,1,0,0,38,2,1,4,1,2,0,0,0,0,0,18,31,24,6,18,8,NW,0,45000,39003.55872,22500,24164.03785
97,NW15NT,0,29,5,31,2,1,3,1,1,0,0,0,0,0,36,1,1,2,1,0,0,0,0,0,0,6,10,10,10,12,11,NW,0,30200,25668.78981,17500,16216.54501
98,NW15NU,0,7,0,11,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,4,4,3,4,3,NW,0,27100,19836.95652,12500,11355.9322
99,NW15NX,0,13,2,13,1,1,1,0,0,0,0,0,0,0,15,1,0,1,1,0,0,0,0,0,0,3,4,4,3,5,5,NW,0,37300,33208.95522,22500,21527.77778
100,NW15NY,0,76,24,93,6,3,11,2,4,1,1,0,0,0,107,3,4,13,3,2,2,1,1,0,0,23,26,27,28,33,30,NW,0,30600,25598.40426,17500,15554.47471
101,NW15PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NW,0,76300,69000,110000,45833.33333
102,NW15PL,0,36,11,28,1,1,2,1,0,0,0,0,0,0,49,1,2,9,1,2,1,1,1,1,0,9,8,8,9,20,10,NW,0,69200,62005.07614,110000,40072.81553
103,NW15PW,0,53,9,37,1,2,3,1,0,0,0,0,0,0,59,2,2,6,1,2,1,0,0,0,0,12,11,10,12,26,13,NW,0,55400,48421.78771,32500,30574.41253
104,NW15QP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,NW,0,29800,25833.33333,17500,16666.66667
105,NW15QR,0,40,8,32,3,1,3,1,1,0,0,0,0,0,47,3,1,5,1,1,1,1,0,0,0,7,11,8,11,16,12,NW,0,55200,49100.34602,42500,32023.80952
106,NW15QT,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,NW,1,43400,37187.5,22500,23157.89474
107,NW15RH,0,38,8,25,3,1,3,1,1,0,0,0,0,0,41,3,1,5,1,1,1,1,0,0,0,4,10,5,11,12,10,NW,0,43500,37964.16938,22500,23764.36782
108,NW15RS,0,40,10,42,2,1,7,1,1,2,1,1,0,0,33,1,1,3,1,0,1,0,0,0,0,9,16,8,7,18,4,NW,0,62700,55468.08511,47500,36361.8677
109,NW15SB,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,NW,0,59400,53461.53846,42500,35000
110,NW15SD,0,19,2,15,1,0,1,1,0,0,0,0,0,0,18,1,1,1,0,0,0,0,0,0,0,4,8,1,3,9,4,NW,0,61000,53846.15385,42500,34672.13115
111,NW15SE,0,5,1,7,1,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,1,2,3,0,2,2,NW,0,51600,44861.11111,32500,28157.89474
112,NW15SF,0,10,2,11,1,1,1,0,0,0,0,0,0,0,12,1,1,1,0,0,0,0,0,0,0,2,3,4,3,3,4,NW,0,70600,63684.21053,110000,42105.26316
113,NW15SG,0,8,1,9,1,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0,0,2,3,3,1,2,4,NW,0,70100,62777.77778,110000,41413.04348
114,NW15SH,0,10,2,11,1,1,1,0,0,0,0,0,0,0,12,1,1,1,0,0,0,0,0,0,0,2,3,4,3,3,4,NW,0,72900,65312.5,110000,43684.21053
115,NW15SJ,0,6,1,8,1,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,1,3,3,1,2,3,NW,0,71500,64857.14286,110000,43529.41176
116,NW15SL,0,4,0,6,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,NW,0,71100,64130.43478,110000,42608.69565
117,NW15SN,0,9,1,10,1,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,NW,0,66600,59636.36364,110000,40000
118,NW15SP,0,4,0,5,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,NW,0,64900,58125,110000,38333.33333
119,NW15SQ,0,5,1,7,1,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,1,2,3,0,2,2,NW,0,63900,57741.93548,47500,38548.3871
120,NW15SR,0,9,1,10,1,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,NW,0,58300,51428.57143,32500,32983.87097
121,NW15SS,0,9,1,10,1,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,NW,0,64300,57142.85714,110000,36132.07547
122,NW15SU,0,5,1,7,1,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,1,2,3,0,2,2,NW,0,48600,41621.62162,32500,25975.60976
123,NW15SW,0,6,1,8,1,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,1,3,3,1,2,3,NW,0,76300,70172.41379,110000,46969.69697
124,NW15SX,0,9,1,10,1,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,NW,0,65600,58557.69231,110000,38018.86792
125,NW15SY,0,5,1,7,1,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0,1,2,3,1,2,2,NW,0,74000,67500,110000,45000
126,NW15SZ,0,3,0,4,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,NW,0,75200,68333.33333,110000,45882.35294
127,NW15TA,0,9,1,10,1,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,NW,0,71800,64607.84314,110000,42800
128,NW15TB,0,5,1,7,1,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,1,2,3,0,2,2,NW,0,72300,64821.42857,110000,42678.57143
129,NW15TD,0,3,0,4,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,NW,0,56900,50000,32500,31904.7619
130,NW15TE,0,11,2,12,1,1,1,0,0,0,0,0,0,0,13,1,1,1,0,0,0,0,0,0,0,2,4,4,3,4,4,NW,0,75700,69074.07407,110000,46065.57377
131,NW15TF,0,8,1,9,1,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0,0,2,3,3,1,2,4,NW,0,63800,56914.89362,47500,37244.89796
132,NW16AE,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NW,0,32300,28260.86957,17500,18076.92308
133,NW16AH,0,19,4,14,1,1,2,1,0,0,0,0,0,0,15,1,0,2,1,0,0,1,0,0,0,3,5,3,3,6,3,NW,0,57800,51125,42500,33068.18182
134,NW16AL,0,21,3,19,2,0,1,1,0,0,0,0,0,0,18,2,1,2,1,0,0,0,0,0,0,6,7,3,3,7,4,NW,0,55300,48366.66667,32500,31392.40506
135,NW16AN,0,21,7,26,2,1,4,1,0,1,0,0,1,0,23,1,0,3,2,0,0,1,0,0,0,5,11,4,4,12,3,NW,0,57800,50555.55556,32500,31979.16667
136,NW16AP,0,21,5,21,1,1,3,1,0,1,0,0,0,0,19,1,0,2,1,0,0,1,0,0,0,4,9,4,4,9,3,NW,0,65800,58780.4878,110000,38548.3871
137,NW16AR,0,23,5,23,2,1,2,1,0,0,0,0,0,0,21,2,1,3,1,1,0,0,0,0,0,7,7,5,4,7,5,NW,0,58100,50192.30769,32500,30870.96774
138,NW16AU,0,10,2,8,1,0,1,1,0,0,0,0,0,0,12,1,0,1,1,0,0,0,0,0,0,1,3,2,2,4,4,NW,0,54400,45655.7377,32500,27602.73973
139,NW16AY,0,21,5,15,1,0,2,1,1,0,0,0,0,0,22,1,0,3,1,1,1,0,0,0,0,3,6,3,3,8,7,NW,0,59500,52204.72441,42500,33178.57143
140,NW16BA,0,21,10,20,1,1,5,2,1,0,1,0,0,0,28,1,1,5,1,1,1,1,0,0,0,3,7,4,5,10,7,NW,0,63400,55991.73554,47500,36335.87786
141,NW16BH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NW,0,31300,27272.72727,17500,17500
142,NW16BJ,0,24,6,21,1,1,3,1,1,0,0,0,0,0,17,1,1,3,1,0,1,0,0,0,0,3,10,4,2,7,4,NW,0,43500,37871.79487,22500,23800.90498
143,NW16BL,0,24,10,28,1,2,5,1,1,1,0,0,0,0,24,1,2,5,1,0,2,0,0,0,0,5,11,6,4,9,5,NW,0,53600,47321.42857,32500,30248.61878
144,NW16BN,0,24,5,19,1,1,2,0,1,0,0,0,0,0,18,1,1,3,1,0,1,0,0,0,0,3,9,4,2,8,4,NW,0,51500,44942.19653,32500,28146.06742
