,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q22,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea,Number of council services accessed,Information about public services,Publication Use,Usefulness of offline publication,Financial Worry
10,0.0,25.0,Female,Working - Full Time (30+ HRS),White - British,5.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,Owns Outright,1,3.0,0.0,No,3,8,8,8,10,1.0,1.0,1.0,NHS,UK  ,8.0,W22BA,Hyde Park,E00023634,0.0,1.0,Online and Offline,4.0,Not Concerned
11,0.0,41.0,Female,Working - Full Time (30+ HRS),White - British,4.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,2.0,1.0,4.0,Rents (With Or Without Housing Benefit),2,3.0,1.0,No,3,8,8,8,3,1.0,1.0,1.0,NHS,UK  ,9.0,W22SB,Hyde Park,E00023631,0.0,2.0,Online and Offline,3.0,Not Concerned
12,0.0,20.0,Male,Full-Time Student,Any - Other White background (type in),1.0,3.0,,1.0,,1.0,1.0,3.0,1.0,3.0,1.0,4.0,Live Here Rent Free,1,5.0,0.0,No,3,11,11,11,2,1.0,1.0,1.0,NHS,,3.0,W22SB,Hyde Park,E00023631,0.0,,None,,Not Concerned
13,0.0,24.0,Female,other,Any - Other White background (type in),5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,Live Here Rent Free,1,5.0,1.0,No,3,10,10,10,6,1.0,1.0,1.0,NHS,,7.0,W22BA,Hyde Park,E00023634,0.0,1.0,Online,,Not Concerned
14,0.0,77.0,Female,Retired,White - British,5.0,5.0,,4.0,1.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,Owns Outright,1,2.0,0.0,No,3,7,12,8,9,1.0,1.0,1.0,NHS,UK  ,9.0,W22NR,Hyde Park,E00023634,0.0,1.0,Online and Offline,1.0,Not Concerned
15,0.0,25.0,Male,Working - Full Time (30+ HRS),White - British,1.0,5.0,1.0,5.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,4.0,Rents (With Or Without Housing Benefit),1,3.0,0.0,No,3,8,7,8,8,2.0,2.0,2.0,NHS,UK  ,8.0,W22NR,Hyde Park,E00023634,0.0,4.0,None,,Not Concerned
16,0.0,31.0,Male,Working - Full Time (30+ HRS),White - Western European (type in),2.0,5.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,2.0,1.0,,Rents (With Or Without Housing Benefit),2,2.0,0.0,No,3,8,8,8,6,1.0,1.0,1.0,NHS,,3.0,W22SB,Hyde Park,E00023631,0.0,3.0,Online,,Not Concerned
17,0.0,58.0,Female,other,White - Eastern European  (type in),5.0,5.0,,5.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,Rents (With Or Without Housing Benefit),3,2.0,3.0,No,3,8,8,8,8,1.0,1.0,1.0,NHS,,8.0,W22LG,Hyde Park,E00023629,0.0,1.0,Offline,2.0,Concerned
18,0.0,85.0,Male,Retired,White - British,1.0,1.0,,1.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,4.0,Owns Outright,1,1.0,0.0,No,1,10,10,10,7,1.0,1.0,1.0,NHS,UK  ,8.0,W22SB,Hyde Park,E00023631,1.0,3.0,Offline,2.0,Not Concerned
19,0.0,45.0,Female,Working - Full Time (30+ HRS),Mixed - White and Black - Caribbean,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,,Rents (With Or Without Housing Benefit),3,2.0,0.0,No,3,7,8,9,5,2.0,2.0,2.0,NHS,UK  ,9.0,W22TP,Hyde Park,E00023631,0.0,1.75,Offline,5.0,Concerned
20,0.0,25.0,Female,other,Other Ethnic groups - Arab,3.0,3.0,2.0,3.0,,4.0,3.0,3.0,4.0,1.0,2.0,3.0,Live Here Rent Free,1,3.0,0.0,No,3,9,9,9,2,1.0,1.0,1.0,NHS,,6.0,W22RJ,Hyde Park,E00023628,0.0,1.75,Offline,4.0,Not Concerned
21,0.0,55.0,Male,Working - Full Time (30+ HRS),White - British,3.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,4.0,Owns With A Mortgage Or Loan,1,2.0,0.0,No,3,9,8,9,7,1.0,1.0,1.0,NHS,UK  ,9.0,W22LU,Hyde Park,E00023640,0.0,1.0,Online and Offline,2.0,Not Concerned
22,0.0,43.0,Male,other,Asian or Asian British - Indian,3.0,3.0,2.0,3.0,,3.0,5.0,3.0,3.0,4.0,2.0,4.0,Live Here Rent Free,4,6.0,2.0,No,3,4,4,5,9,3.0,3.0,3.0,NHS,,9.0,W22JW,Hyde Park,E00023634,0.0,1.8,None,,Not Concerned
23,0.0,35.0,Female,Working - Full Time (30+ HRS),White - British,4.0,4.0,3.0,4.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,,Rents (With Or Without Housing Benefit),3,1.0,0.0,No,3,9,9,7,3,2.0,2.0,1.0,NHS,UK  ,9.0,W22RH,Hyde Park,E00023628,0.0,1.25,Online and Offline,2.0,Not Concerned
24,0.0,32.0,Male,Working - Full Time (30+ HRS),White - British,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,Rents (With Or Without Housing Benefit),2,2.0,0.0,No,3,8,8,8,7,1.0,1.0,1.0,NHS,UK  ,7.0,W1U6BU,Bryanston and Dorset Square,E00023526,0.0,2.2,Offline,2.0,Not Concerned
25,0.0,,Female,Working - Full Time (30+ HRS),Asian or Asian British - Chinese ,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,Rents (With Or Without Housing Benefit),2,2.0,0.0,No,3,8,6,6,4,1.0,1.0,1.0,NHS,,5.0,REF,Bryanston and Dorset Square,,0.0,2.0,Offline,3.5,Not Concerned
26,0.0,,Male,Working - Full Time (30+ HRS),Black or Black British - African ,3.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Owns With A Mortgage Or Loan,2,3.0,0.0,No,3,10,9,9,4,1.0,1.0,1.0,NHS,,9.0,W1U6BX,Bryanston and Dorset Square,E00023526,0.0,2.0,Offline,1.5,Not Concerned
27,0.0,,Female,Working - Full Time (30+ HRS),White - British,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,Rents (With Or Without Housing Benefit),2,2.0,0.0,No,3,9,9,9,3,,1.0,1.0,NHS,,8.0,W1U6BU,Bryanston and Dorset Square,E00023526,0.0,2.0,Offline,1.0,Not Concerned
28,0.0,23.0,Female,Working - Full Time (30+ HRS),White - Western European (type in),2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,Rents (With Or Without Housing Benefit),2,3.0,0.0,No,3,10,10,9,6,1.0,1.0,1.0,None of these,,1.0,W1U6BX,Bryanston and Dorset Square,E00023526,0.0,3.0,None,,Not Concerned
29,0.0,31.0,Female,Full-Time Student,White - Eastern European  (type in),4.0,4.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,Rents (With Or Without Housing Benefit),2,1.0,0.0,No,3,10,10,10,1,2.0,1.0,2.0,None of these,,3.0,W1U6BX,Bryanston and Dorset Square,E00023526,0.0,2.0,None,,Concerned
30,0.0,,Female,Working - Full Time (30+ HRS),White - British,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,Owns Outright,2,4.0,0.0,No,3,9,9,9,8,1.0,1.0,1.0,NHS,UK  ,9.0,W1U6BX,Bryanston and Dorset Square,E00023526,0.0,1.0,Offline,1.0,Not Concerned
31,0.0,74.0,Male,Retired,Asian or Asian British - Pakistani,3.0,3.0,,3.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,Owns Outright,2,2.0,0.0,No,3,10,10,9,4,1.0,1.0,1.0,NHS,UK  ,9.0,W1U6BX,Bryanston and Dorset Square,E00023526,0.0,1.6,Offline,1.0,Not Concerned
32,0.0,19.0,Male,Full-Time Student,White - Western European (type in),1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,8.0,,Rents A Room In A Shared Property,1,3.0,3.0,Yes,3,9,9,10,1,1.0,1.0,1.0,(Don't know),,2.0,NW16BA,Bryanston and Dorset Square,E00023516,0.0,3.0,None,,Not Concerned
33,0.0,27.0,Female,Working - Full Time (30+ HRS),Asian or Asian British - Indian,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,Owns With A Mortgage Or Loan,2,3.0,0.0,No,3,8,8,7,9,1.0,1.0,1.0,NHS,UK  ,9.0,NW16AL,Bryanston and Dorset Square,E00023522,0.0,2.0,Online and Offline,2.0,Not Concerned
34,0.0,56.0,Female,Working - Full Time (30+ HRS),White - British,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,,1.0,4.0,Owns With A Mortgage Or Loan,2,2.0,0.0,No,3,7,8,8,7,2.0,2.0,2.0,NHS,UK  ,9.0,NW16AL,Bryanston and Dorset Square,E00023522,0.0,2.0,Offline,2.0,Not Concerned
35,0.0,54.0,Male,Working - Full Time (30+ HRS),White - British,4.0,4.0,3.0,3.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,1.0,Owns With A Mortgage Or Loan,2,2.0,0.0,No,3,9,10,9,9,1.0,1.0,1.0,NHS,UK  ,9.0,NW16AL,Bryanston and Dorset Square,E00023522,0.0,1.2,Online and Offline,1.0,Not Concerned
36,0.0,77.0,Female,Retired,White - British,4.0,1.0,,3.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Owns Outright,2,1.0,0.0,No,3,4,4,6,6,1.0,1.0,1.0,NHS,UK  ,9.0,NW16AL,Bryanston and Dorset Square,E00023522,0.0,2.6,Online and Offline,1.5,Not Concerned
37,0.0,22.0,Male,Working - Full Time (30+ HRS),Asian or Asian British - Any other Asian Background (type in),1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,Owns Outright,1,2.0,0.0,Yes,3,11,11,11,2,1.0,1.0,2.0,Private,,6.0,NW16AL,Bryanston and Dorset Square,E00023522,0.0,2.6,Offline,2.0,Not Concerned
38,0.0,47.0,Male,Working - Full Time (30+ HRS),Black or Black British - African ,3.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,Owns Outright,1,3.0,1.0,No,3,9,10,9,1,1.0,1.0,1.0,NHS,UK  ,9.0,NW16AL,Bryanston and Dorset Square,E00023522,0.0,2.0,Online and Offline,1.5,Not Concerned
39,0.0,29.0,Female,Working - Full Time (30+ HRS),White - British,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,,1.0,3.0,4.0,Rents A Room In A Shared Property,3,4.0,0.0,No,3,6,6,6,6,,,,NHS,UK  ,9.0,NW16BA,Bryanston and Dorset Square,E00023516,0.0,,Online,,Concerned
40,0.0,66.0,Female,other,White - British,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,Owns Outright,2,1.0,0.0,No,3,9,9,8,4,2.0,1.0,2.0,NHS,UK  ,9.0,SW71BL,Knightsbridge and Belgravia,E00023672,0.0,1.6,Offline,2.0,Concerned
41,0.0,49.0,Male,Working - Full Time (30+ HRS),Mixed - White and Black - Caribbean,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,Rents A Room In A Shared Property,2,2.0,0.0,No,3,9,7,10,5,1.0,1.0,1.0,NHS,UK  ,6.0,SW71BG,Knightsbridge and Belgravia,E00023672,0.0,1.8,Online and Offline,2.0,Concerned
42,0.0,69.0,Female,Retired,Mixed - White and Black - Caribbean,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,Owns With A Mortgage Or Loan,2,2.0,0.0,No,3,9,7,8,6,2.0,1.0,1.0,NHS,UK  ,9.0,SW71BG,Knightsbridge and Belgravia,E00023672,0.0,1.8,Offline,3.0,Concerned
43,0.0,40.0,Male,Working - Full Time (30+ HRS),White - British,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,Rents (With Or Without Housing Benefit),3,3.0,1.0,No,3,10,8,9,2,1.0,1.0,2.0,NHS,UK  ,2.0,SW71BB,Knightsbridge and Belgravia,E00023672,0.0,2.2,Online and Offline,3.0,Concerned
44,0.0,39.0,Female,other,Black or Black British - African ,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,Rents (With Or Without Housing Benefit),2,4.0,2.0,No,3,10,9,7,4,1.0,1.0,1.0,NHS,,7.0,SW71BG,Knightsbridge and Belgravia,E00023672,0.0,1.6,Offline,3.0,Concerned
45,0.0,50.0,Male,Working - Full Time (30+ HRS),Black or Black British -  Caribbean,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,Rents (With Or Without Housing Benefit),2,2.0,0.0,No,3,9,6,7,2,1.0,1.0,2.0,NHS,UK  ,7.0,SW71BG,Knightsbridge and Belgravia,E00023672,0.0,1.8,Offline,2.0,Concerned
46,0.0,56.0,Female,Working - Full Time (30+ HRS),White - British,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,Rents (With Or Without Housing Benefit),3,2.0,2.0,No,3,8,7,8,3,1.0,2.0,1.0,NHS,UK  ,6.0,SW71BG,Knightsbridge and Belgravia,E00023672,1.0,1.8,Offline,2.0,Not Concerned
47,0.0,23.0,Male,Working - Full Time (30+ HRS),White - British,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,Rents A Room In A Shared Property,3,3.0,0.0,No,3,9,8,8,3,1.0,1.0,1.0,NHS,UK  ,9.0,SW71BB,Knightsbridge and Belgravia,E00023672,0.0,1.8,Online,,Concerned
48,0.0,52.0,Male,Working - Full Time (30+ HRS),Mixed - White and Asian ,2.0,4.0,1.0,4.0,1.0,2.0,5.0,3.0,4.0,2.0,1.0,4.0,Owns With A Mortgage Or Loan,1,2.0,0.0,No,3,9,9,9,5,1.0,1.0,1.0,NHS,UK  ,8.0,NW89AX,Abbey Road,E00023419,0.0,1.0,Online and Offline,5.0,Not Concerned
49,0.0,30.0,Male,Working - Full Time (30+ HRS),White - British,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Live Here Rent Free,2,2.0,0.0,No,3,8,8,8,4,1.0,1.0,1.0,NHS,UK  ,9.0,NW80EJ,Abbey Road,E00023448,0.0,,Offline,3.0,Not Concerned
50,0.0,36.0,Female,Working - Full Time (30+ HRS),White - British,2.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,5.0,1.0,7.0,3.0,Owns With A Mortgage Or Loan,2,3.0,1.0,No,3,8,8,8,3,1.0,1.0,1.0,NHS,UK  ,9.0,NW80EH,Abbey Road,E00023448,0.0,1.25,Online and Offline,3.0,Not Concerned
51,0.0,35.0,Male,other,White - British,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,7.0,4.0,Live Here Rent Free,3,3.0,1.0,No,3,7,7,7,7,2.0,2.0,2.0,NHS,UK  ,9.0,NW80EJ,Abbey Road,E00023448,0.0,1.0,Online and Offline,3.0,Concerned
52,0.0,38.0,Female,Working - Full Time (30+ HRS),Mixed - White and Black - Caribbean,1.0,3.0,1.0,3.0,2.0,3.0,5.0,3.0,4.0,2.0,1.0,4.0,Rents (With Or Without Housing Benefit),2,3.0,1.0,No,3,7,7,7,5,1.0,1.0,1.0,NHS,UK  ,8.0,NW89AX,Abbey Road,E00023419,0.0,2.0,Online and Offline,3.0,Not Concerned
53,0.0,73.0,Male,Retired,White - British,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,Owns Outright,1,2.0,0.0,No,3,9,9,9,3,1.0,1.0,1.0,NHS,UK  ,9.0,NW80EJ,Abbey Road,E00023448,0.0,4.0,Offline,2.0,Not Concerned
54,0.0,22.0,Female,Full-Time Student,White - British,4.0,4.0,,4.0,2.0,3.0,4.0,4.0,4.0,2.0,7.0,3.0,Live Here Rent Free,1,4.0,0.0,No,3,9,9,9,5,1.0,1.0,1.0,NHS,UK  ,9.0,NW80EJ,Abbey Road,E00023448,0.0,,None,,Not Concerned
55,0.0,59.0,Female,Working - Full Time (30+ HRS),White - British,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,Owns Outright,1,4.0,0.0,No,3,9,10,9,4,1.0,1.0,1.0,NHS,UK  ,9.0,NW80EJ,Abbey Road,E00023448,0.0,1.0,Online and Offline,1.0,Not Concerned
56,0.0,29.0,Male,other,Other Ethnic groups - Arab,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,Rents (With Or Without Housing Benefit),3,5.0,0.0,Yes,1,7,7,5,9,2.0,3.0,2.0,NHS,UK  ,8.0,NW88LN,Church Street,E00175272,0.0,2.0,Online and Offline,2.0,Concerned
57,0.0,16.0,Female,Full-Time Student,Asian or Asian British - Bangladeshi,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,Rents A Room In A Shared Property,6,5.0,1.0,No,3,6,6,6,6,2.0,2.0,2.0,NHS,UK  ,7.0,NW88LL,Church Street,E00175265,0.0,1.0,Online and Offline,2.0,Not Concerned
58,0.0,54.0,Male,Working - Full Time (30+ HRS),Black or Black British -  Caribbean,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,Rents (With Or Without Housing Benefit),3,1.0,0.0,No,3,6,5,7,7,2.0,2.0,2.0,NHS,UK  ,8.0,NW88LH,Church Street,E00175272,0.0,1.6,Online and Offline,1.0,Concerned
59,1.0,68.0,Male,Retired,White - Irish,3.0,4.0,,2.0,1.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,Rents (With Or Without Housing Benefit),3,2.0,0.0,Yes,3,9,6,9,8,1.0,1.0,1.0,NHS,UK  ,8.0,NW88LE,Church Street,E00175265,2.0,2.0,Offline,1.0,Not Concerned
60,0.0,53.0,Female,"Unemployed, Not Registered-Seeking Work",Asian or Asian British - Bangladeshi,4.0,5.0,,5.0,3.0,5.0,4.0,5.0,4.0,5.0,1.0,2.0,Rents (With Or Without Housing Benefit),2,4.0,0.0,No,3,5,6,8,7,1.0,1.0,1.0,NHS,UK  ,8.0,NW88LE,Church Street,E00175265,0.0,2.0,Online and Offline,2.0,Not Concerned
61,1.0,43.0,Female,"Unemployed, Not Registered-Seeking Work",Asian or Asian British - Bangladeshi,3.0,4.0,,5.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,Rents (With Or Without Housing Benefit),3,5.0,1.0,No,3,6,7,7,7,1.0,2.0,1.0,NHS,UK  ,7.0,NW88LN,Church Street,E00175272,0.0,1.8,Offline,1.0,Not Concerned
62,0.0,36.0,Female,Working - Full Time (30+ HRS),Any - Other White background (type in),4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,Rents (With Or Without Housing Benefit),3,3.0,0.0,No,3,9,8,7,6,2.0,2.0,2.0,NHS,,5.0,NW88LN,Church Street,E00175272,0.0,2.4,Offline,2.0,Concerned
63,0.0,28.0,Male,Working - Full Time (30+ HRS),White - Eastern European  (type in),5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,Rents (With Or Without Housing Benefit),6,4.0,0.0,No,3,7,7,7,6,1.0,1.0,2.0,None of these,,4.0,NW88LE,Church Street,E00175265,0.0,3.0,Online and Offline,2.0,Not Concerned
64,0.0,40.0,Male,other,Other Ethnic groups - Arab,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,1.0,4.0,Rents (With Or Without Housing Benefit),3,5.0,3.0,No,3,11,11,11,1,1.0,1.0,1.0,NHS,,6.0,W25DE,Bayswater,E00023481,1.0,1.8,Online and Offline,2.0,Not Concerned
65,0.0,36.0,Female,Working - Full Time (30+ HRS),White - British,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,Owns Outright,2,3.0,1.0,No,3,11,9,10,3,1.0,1.0,1.0,NHS,UK  ,9.0,W25BU,Bayswater,E00023475,0.0,2.0,Online and Offline,2.0,Not Concerned
66,0.0,47.0,Male,Working - Full Time (30+ HRS),White - British,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,Owns Outright,2,2.0,0.0,No,3,10,10,9,1,1.0,1.0,1.0,NHS,UK  ,9.0,W25DE,Bayswater,E00023481,0.0,3.75,Online and Offline,3.0,Not Concerned
67,0.0,66.0,Male,Working - Full Time (30+ HRS),White - British,5.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,Owns Outright,1,4.0,0.0,No,3,10,10,10,10,1.0,1.0,1.0,NHS,UK  ,9.0,W25EA,Bayswater,E00023459,0.0,2.0,Online and Offline,2.0,Not Concerned
68,0.0,74.0,Male,Retired,White - British,2.0,2.0,,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,Owns Outright,2,2.0,0.0,No,3,9,9,9,1,1.0,1.0,1.0,NHS,UK  ,9.0,W25BU,Bayswater,E00023475,0.0,1.75,Offline,3.0,Not Concerned
69,0.0,35.0,Male,Working - Full Time (30+ HRS),Asian or Asian British - Any other Asian Background (type in),2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,Rents (With Or Without Housing Benefit),2,2.0,0.0,No,3,10,10,10,3,1.0,1.0,1.0,NHS,,,W25EA,Bayswater,E00023459,0.0,2.0,Online and Offline,2.0,Not Concerned
70,0.0,55.0,Male,Retired,White - British,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Owns Outright,2,1.0,0.0,No,3,9,9,9,1,1.0,1.0,1.0,NHS,UK  ,9.0,W25EA,Bayswater,E00023459,0.0,2.0,Online and Offline,1.0,Not Concerned
71,0.0,48.0,Female,Unemployed due to ill health,White - British,3.0,3.0,,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,Rents (With Or Without Housing Benefit),4,3.0,0.0,No,3,6,6,6,6,2.0,2.0,2.0,NHS,UK  ,9.0,W25DE,Bayswater,E00023481,1.0,1.8,Online and Offline,2.0,Concerned
72,0.0,41.0,Female,Working - Full Time (30+ HRS),Black or Black British - African ,4.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,Owns Outright,2,4.0,2.0,No,3,10,10,9,3,1.0,1.0,1.0,NHS,UK  ,9.0,W25EA,Bayswater,E00023459,0.0,2.0,Online and Offline,2.0,Not Concerned
73,0.0,50.0,Male,other,Other Ethnic groups - Arab,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,Rents (With Or Without Housing Benefit),2,3.0,1.0,No,3,10,10,10,1,1.0,1.0,1.0,NHS,,6.0,W25DE,Bayswater,E00023481,0.0,1.6,Offline,2.0,Not Concerned
74,0.0,17.0,Male,other,Other Ethnic groups - Arab,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,Live Here Rent Free,6,3.0,2.0,Yes,3,12,12,12,12,,,,NHS,UK  ,9.0,W25DE,Bayswater,E00023481,0.0,2.0,Dont know,,Not Concerned
