,Postcode,PC_Area,Target,Population aged 65+,Females aged 65-69,Females aged 65+,Females aged 70-74,Females aged 75-79,Females aged 80-84,Females aged 85-89,Females aged 90-94,Females aged 95_99,Females aged 100+,Males aged 65-69,Males aged 65+,Males aged 70-74,Males aged 75-79,Males aged 80-84,Males aged 85-89,Males aged 90-94,Males aged 95-99,Males aged 100+,Females aged under 25,Females aged 25-44,Females aged 45-65,Males aged under 25,Males aged 25-44,Males aged 45-65,Mean Income,Median Income,Mode Income,Lower Quartile
14,NW14QD,NW,0,15,2,9,2,2,3,0,0,0,0,2,6,1,1,1,1,0,0,0,7,12,9,6,12,7,59400,51963.35079,32500,32873.83178
15,NW14QE,NW,0,20,2,14,2,3,3,1,1,1,1,2,6,1,1,1,1,0,0,0,7,12,11,7,13,8,50300,43625.82781,32500,27136.22291
16,NW14QP,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,2,6,3,71900,64878.04878,110000,45238.09524
17,NW14RB,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,88200,82142.85714,110000,58000
18,NW14RD,NW,0,15,2,8,2,2,1,1,0,0,0,2,7,1,2,1,1,0,0,0,8,13,14,10,14,14,53500,46898.017,32500,29735.37604
19,NW14RH,NW,0,5,1,3,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,5,7,6,3,7,5,40900,35222.22222,22500,22207.20721
20,NW14RJ,NW,0,13,2,9,2,2,1,1,1,0,0,1,4,1,1,1,0,0,0,0,6,9,12,7,13,11,88300,81836.73469,110000,56176.47059
21,NW14RP,NW,0,9,1,5,2,1,1,0,0,0,0,1,4,1,1,1,0,0,0,0,4,8,8,6,10,9,73800,66285.71429,110000,43907.56303
22,NW14RT,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,90200,83125,110000,57368.42105
23,NW14RY,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,59000,52692.30769,37500,34615.38462
24,NW14SH,NW,0,6,1,3,1,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,3,5,6,3,5,6,59800,51732.67327,32500,31666.66667
25,NW14SJ,NW,0,7,1,5,1,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,7,12,8,9,15,7,56900,49875,32500,31341.46341
26,NW14SL,NW,0,15,2,8,2,2,1,1,0,0,0,2,7,1,2,1,1,0,0,0,7,12,13,10,14,14,58500,51509.09091,42500,32812.5
27,NW14SN,NW,0,12,2,7,2,0,1,0,2,0,0,0,5,2,2,1,0,0,0,0,12,24,8,13,23,10,55300,48013.54402,32500,30309.27835
28,NW15AB,NW,0,6,1,3,1,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,6,8,5,5,10,6,64900,57532.05128,110000,36716.86747
29,NW15AD,NW,0,4,0,2,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,4,4,4,6,5,63200,55789.47368,110000,35576.92308
30,NW15AE,NW,0,11,1,5,1,2,1,0,0,0,0,1,6,1,1,3,0,0,0,0,8,12,8,10,17,8,59400,52014.21801,42500,33012.82051
31,NW15AF,NW,0,8,1,4,1,1,0,1,0,0,0,1,4,1,1,1,0,0,0,0,6,8,5,7,11,6,60300,53293.41317,42500,34378.53107
32,NW15AG,NW,0,6,1,3,1,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,5,8,5,6,10,6,62200,55300.75188,47500,35793.10345
33,NW15AH,NW,0,8,0,2,1,1,0,0,0,0,0,1,6,1,1,3,0,0,0,0,10,12,7,11,21,7,62700,55502.18341,47500,35742.97189
34,NW15AL,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,88200,82142.85714,110000,58000
35,NW15AN,NW,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,48700,43541.66667,32500,28125
36,NW15AQ,NW,0,10,1,5,1,1,0,1,1,0,0,1,5,1,1,2,0,0,0,0,6,8,5,8,13,6,64500,57294.11765,110000,36861.11111
37,NW15AW,NW,0,10,1,4,1,1,0,0,1,0,0,2,6,1,1,1,1,0,0,0,3,4,6,4,4,7,45700,40559.70149,32500,26020.40816
38,NW15AX,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,5,2,53000,46547.61905,32500,29651.16279
39,NW15AY,NW,0,3,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,4,5,3,3,5,4,49500,42368.42105,32500,26031.74603
40,NW15AZ,NW,0,6,1,1,0,0,0,0,0,0,0,2,5,1,1,1,0,0,0,0,5,7,5,5,10,6,64700,57714.28571,110000,37638.88889
41,NW15BA,NW,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,3,3,55700,48928.57143,32500,31477.27273
42,NW15BB,NW,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,1,48900,43333.33333,32500,29705.88235
43,NW15BD,NW,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,3,4,3,1,4,3,59200,52631.57895,42500,34000
44,NW15BE,NW,0,3,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,4,6,5,3,7,4,50100,44455.44554,32500,28700
45,NW15BF,NW,0,10,0,5,0,1,2,1,1,0,0,0,5,2,0,1,1,1,0,0,13,28,9,14,30,5,62100,54946.52406,47500,35503.87597
46,NW15BG,NW,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,3,3,64600,57380.95238,110000,36969.69697
47,NW15BJ,NW,0,3,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,4,6,5,3,7,5,58400,51666.66667,42500,33846.15385
48,NW15BL,NW,0,4,0,0,0,0,0,0,0,0,0,2,4,1,1,0,0,0,0,0,4,7,4,4,9,6,53200,45428.57143,32500,27658.22785
49,NW15BN,NW,0,5,1,2,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,4,6,4,3,7,3,48200,41437.5,32500,25833.33333
50,NW15BQ,NW,0,5,1,2,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,4,6,4,3,7,3,63200,55793.65079,110000,34000
51,NW15BU,NW,1,7,1,3,1,1,0,0,0,0,0,1,4,1,1,1,0,0,0,0,6,6,9,8,7,8,32700,27354.36893,17500,16191.33574
52,NW15BY,NW,0,5,1,2,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,3,4,4,2,4,5,36700,31991.52542,22500,20259.25926
53,NW15DA,NW,0,6,1,3,1,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,6,9,8,7,11,9,32200,27613.33333,17500,17366.16702
54,NW15DB,NW,0,4,1,2,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,4,4,2,4,4,34800,30654.7619,17500,19318.18182
55,NW15DD,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,4,3,38700,34177.21519,22500,21882.35294
56,NW15DE,NW,0,6,1,2,1,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,6,6,8,7,8,8,41500,35971.56398,22500,22519.68504
57,NW15DF,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1,31100,26388.88889,17500,16714.28571
58,NW15DP,NW,0,5,1,3,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,4,10,6,11,13,12,52500,46159.42029,32500,29241.37931
59,NW15DR,NW,1,10,2,6,2,1,1,0,0,0,0,1,4,1,1,1,0,0,0,0,7,10,15,12,11,13,30000,22971.24601,12500,12718.05274
60,NW15EA,NW,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,3,5,2,2,5,2,48000,42282.6087,32500,26666.66667
61,NW15EB,NW,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,2,3,64000,56857.14286,110000,37027.02703
62,NW15ED,NW,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,3,2,54300,47000,32500,29404.7619
63,NW15EE,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,3,2,7,3,52100,45949.36709,32500,29629.62963
64,NW15EF,NW,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,4,2,2,5,3,48100,41875,32500,25812.5
65,NW15EG,NW,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,5,2,54800,48200,32500,30617.28395
66,NW15EH,NW,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,47800,40465.11628,22500,25196.07843
67,NW15EJ,NW,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,5,1,54000,48076.92308,32500,31176.47059
68,NW15EL,NW,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,5,2,2,5,3,51200,44683.5443,32500,27926.82927
69,NW15EN,NW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,3,2,54800,47073.17073,32500,30000
70,NW15EP,NW,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,3,49000,43723.40426,32500,28191.48936
71,NW15EQ,NW,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,3,2,56800,49568.96552,32500,30725.80645
72,NW15ER,NW,0,5,1,2,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,2,8,4,4,9,4,64200,57187.5,110000,37238.80597
73,NW15ES,NW,0,5,1,2,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,2,7,4,3,8,4,69700,62500,110000,41015.625
74,NW15EW,NW,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,3,2,65900,59444.44444,110000,39428.57143
75,NW15HD,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65500,58333.33333,47500,38333.33333
76,NW15HE,NW,0,6,0,3,1,1,0,0,1,0,0,0,3,2,0,0,0,1,0,0,5,3,3,4,4,4,78700,71578.94737,110000,47890.625
77,NW15HF,NW,0,7,1,3,1,1,0,0,0,0,0,1,4,2,0,0,0,1,0,0,6,4,4,6,4,4,74800,67656.25,110000,43750
78,NW15HG,NW,0,8,0,3,1,1,0,0,1,0,0,1,5,2,0,0,0,2,0,0,5,5,5,6,5,5,78500,71940.29851,110000,48266.66667
79,NW15HL,NW,0,7,1,3,1,1,0,0,0,0,0,0,4,2,0,1,0,1,0,0,6,4,4,5,2,4,80900,73467.74194,110000,49420.28986
80,NW15HN,NW,0,15,1,5,1,2,0,0,1,0,0,1,10,3,1,1,1,3,0,0,9,8,7,10,9,8,74500,68035.71429,110000,45812.5
81,NW15JY,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,63400,57083.33333,42500,37500
82,NW15LL,NW,0,6,1,4,1,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,4,8,6,4,9,4,68100,60619.04762,110000,38148.14815
83,NW15NA,NW,0,11,1,5,2,1,1,0,0,0,0,1,6,2,1,1,1,0,0,0,11,12,9,8,12,10,80300,73987.34177,110000,50352.94118
84,NW15NB,NW,0,10,1,4,2,1,0,0,0,0,0,1,6,2,1,1,1,0,0,0,12,12,10,7,12,10,76000,69401.1976,110000,47222.22222
85,NW15ND,NW,0,6,1,3,1,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,11,12,7,6,11,5,75600,69050.63291,110000,46312.84916
86,NW15NE,NW,0,10,1,5,1,1,1,0,1,0,0,1,5,1,1,1,1,0,0,0,12,14,7,6,13,6,68400,61603.26087,110000,40732.98429
87,NW15NF,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,56900,48648.64865,32500,32500
88,NW15NP,NW,0,13,3,8,1,1,1,2,0,0,0,1,5,1,1,1,0,1,0,0,16,23,16,10,31,15,56400,49536.34085,32500,31450.83933
89,NW15NR,NW,0,8,1,4,0,0,0,2,1,0,0,1,4,1,2,0,0,0,0,0,18,31,24,6,18,8,45000,39003.55872,22500,24164.03785
90,NW15NT,NW,0,5,1,3,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,6,10,10,10,12,11,30200,25668.78981,17500,16216.54501
91,NW15NU,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,4,3,27100,19836.95652,12500,11355.9322
92,NW15NX,NW,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,4,4,3,5,5,37300,33208.95522,22500,21527.77778
93,NW15NY,NW,0,24,3,11,2,4,1,1,0,0,0,4,13,3,2,2,1,1,0,0,23,26,27,28,33,30,30600,25598.40426,17500,15554.47471
94,NW15PG,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76300,69000,110000,45833.33333
95,NW15PL,NW,0,11,1,2,1,0,0,0,0,0,0,2,9,1,2,1,1,1,1,0,9,8,8,9,20,10,69200,62005.07614,110000,40072.81553
96,NW15PW,NW,0,9,2,3,1,0,0,0,0,0,0,2,6,1,2,1,0,0,0,0,12,11,10,12,26,13,55400,48421.78771,32500,30574.41253
97,NW15QR,NW,0,8,1,3,1,1,0,0,0,0,0,1,5,1,1,1,1,0,0,0,7,11,8,11,16,12,55200,49100.34602,42500,32023.80952
98,NW15QT,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,43400,37187.5,22500,23157.89474
99,NW15RH,NW,0,8,1,3,1,1,0,0,0,0,0,1,5,1,1,1,1,0,0,0,4,10,5,11,12,10,43500,37964.16938,22500,23764.36782
100,NW15RS,NW,0,10,1,7,1,1,2,1,1,0,0,1,3,1,0,1,0,0,0,0,9,16,8,7,18,4,62700,55468.08511,47500,36361.8677
101,NW15SB,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,59400,53461.53846,42500,35000
102,NW15SD,NW,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,8,1,3,9,4,61000,53846.15385,42500,34672.13115
103,NW15SE,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,0,2,2,51600,44861.11111,32500,28157.89474
104,NW15SF,NW,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,4,3,3,4,70600,63684.21053,110000,42105.26316
105,NW15SG,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,3,1,2,4,70100,62777.77778,110000,41413.04348
106,NW15SH,NW,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,4,3,3,4,72900,65312.5,110000,43684.21053
107,NW15SJ,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,3,1,2,3,71500,64857.14286,110000,43529.41176
108,NW15SL,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,71100,64130.43478,110000,42608.69565
109,NW15SN,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,66600,59636.36364,110000,40000
110,NW15SP,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,64900,58125,110000,38333.33333
111,NW15SQ,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,0,2,2,63900,57741.93548,47500,38548.3871
112,NW15SR,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,58300,51428.57143,32500,32983.87097
113,NW15SS,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,64300,57142.85714,110000,36132.07547
114,NW15SU,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,0,2,2,48600,41621.62162,32500,25975.60976
115,NW15SW,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,3,1,2,3,76300,70172.41379,110000,46969.69697
116,NW15SX,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,65600,58557.69231,110000,38018.86792
117,NW15SY,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,1,2,2,74000,67500,110000,45000
118,NW15SZ,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,75200,68333.33333,110000,45882.35294
119,NW15TA,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,4,1,3,4,71800,64607.84314,110000,42800
120,NW15TB,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,0,2,2,72300,64821.42857,110000,42678.57143
121,NW15TD,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,56900,50000,32500,31904.7619
122,NW15TE,NW,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,4,3,4,4,75700,69074.07407,110000,46065.57377
123,NW15TF,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,3,1,2,4,63800,56914.89362,47500,37244.89796
124,NW16AH,NW,0,4,1,2,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,5,3,3,6,3,57800,51125,42500,33068.18182
125,NW16AL,NW,0,3,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,6,7,3,3,7,4,55300,48366.66667,32500,31392.40506
126,NW16AN,NW,0,7,1,4,1,0,1,0,0,1,0,0,3,2,0,0,1,0,0,0,5,11,4,4,12,3,57800,50555.55556,32500,31979.16667
127,NW16AP,NW,0,5,1,3,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,4,9,4,4,9,3,65800,58780.4878,110000,38548.3871
128,NW16AR,NW,0,5,1,2,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,7,7,5,4,7,5,58100,50192.30769,32500,30870.96774
129,NW16AU,NW,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,2,2,4,4,54400,45655.7377,32500,27602.73973
130,NW16AY,NW,0,5,0,2,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,3,6,3,3,8,7,59500,52204.72441,42500,33178.57143
131,NW16BA,NW,0,10,1,5,2,1,0,1,0,0,0,1,5,1,1,1,1,0,0,0,3,7,4,5,10,7,63400,55991.73554,47500,36335.87786
132,NW16BJ,NW,0,6,1,3,1,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,3,10,4,2,7,4,43500,37871.79487,22500,23800.90498
133,NW16BL,NW,0,10,2,5,1,1,1,0,0,0,0,2,5,1,0,2,0,0,0,0,5,11,6,4,9,5,53600,47321.42857,32500,30248.61878
134,NW16BN,NW,0,5,1,2,0,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,3,9,4,2,8,4,51500,44942.19653,32500,28146.06742
135,NW16BP,NW,0,10,2,5,1,1,1,0,0,0,0,2,5,1,0,2,0,0,0,0,5,11,4,3,9,4,48200,41695.4023,32500,25803.10881
136,NW16BS,NW,0,9,2,5,1,1,1,0,0,0,0,2,4,1,0,1,0,0,0,0,5,10,6,4,8,4,55100,47575.75758,32500,30412.08791
137,NW16BT,NW,0,8,2,4,1,1,0,0,0,0,0,2,4,1,0,1,0,0,0,0,4,10,4,3,9,4,49800,44357.14286,32500,28677.88462
138,NW16BU,NW,0,14,0,5,1,2,1,0,1,0,0,4,9,1,1,1,1,1,0,0,7,25,5,7,46,6,42800,37321.73913,22500,23508.37139
139,NW16BY,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,5,1,47400,40344.82759,22500,25073.52941
140,NW16DA,NW,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,6,3,1,5,1,66100,58968.25397,110000,38359.375
141,NW16DB,NW,0,6,1,3,1,0,1,0,0,0,0,1,3,1,0,0,0,1,0,0,4,12,5,4,15,5,63900,57116.78832,47500,37570.42254
142,NW16DD,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,70600,63529.41176,110000,41764.70588
143,NW16DE,NW,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,1,63400,56875,42500,37200
144,NW16DP,NW,0,13,1,6,1,1,1,1,1,0,0,3,7,1,1,1,1,0,0,0,6,15,6,4,26,4,53100,46320,32500,29461.53846
145,NW16DR,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,30700,27272.72727,17500,17500
146,NW16DS,NW,0,4,1,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,8,2,4,9,4,44400,38705.88235,32500,24551.97133
147,NW16DT,NW,0,18,4,9,2,0,1,2,0,0,0,4,9,2,1,1,1,0,0,0,17,21,11,13,30,15,43300,37728.02653,22500,23541.3643
148,NW16DX,NW,0,19,4,10,3,1,2,0,0,0,0,2,9,2,2,3,0,0,0,0,10,24,10,10,39,13,50300,43687.39206,32500,27285.25122
149,NW16EA,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,42900,37375,22500,23297.87234
150,NW16EB,NW,0,5,0,2,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,3,7,3,4,8,7,67700,60601.85185,110000,39813.08411
151,NW16EF,NW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4,0,57200,51153.84615,42500,33392.85714
152,NW16EG,NW,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,2,2,3,2,28400,24251.49701,17500,15259.06736
153,NW16EH,NW,1,11,1,6,2,1,1,0,1,0,0,1,5,1,1,1,1,0,0,0,15,18,9,9,17,7,43600,37452.47148,17500,22250
154,NW16EJ,NW,0,13,2,7,2,1,1,1,0,0,0,3,6,2,1,0,0,0,0,0,27,43,12,19,58,17,66699.90654,59577.92208,110000,38887.98701
155,NW16EL,NW,0,10,2,5,1,1,0,1,0,0,0,2,5,1,1,0,1,0,0,0,20,30,8,15,41,12,66000,59243.90244,110000,39195.54455
156,NW16EN,NW,0,10,1,5,1,2,1,0,0,0,0,1,5,1,2,0,1,0,0,0,13,21,13,16,26,14,58900,51614.98708,42500,32784.22274
157,NW16EP,NW,0,9,1,2,1,0,0,0,0,0,0,2,7,1,1,1,1,1,0,0,7,9,7,4,9,6,60000,52730.26316,42500,33666.66667
158,NW16ER,NW,0,5,2,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,10,6,5,11,5,58600,50312.5,32500,30692.30769
159,NW16ES,NW,0,4,1,2,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,10,6,3,12,4,60100,52938.59649,42500,33495.93496
160,NW16EU,NW,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,5,4,1,4,3,69100,63043.47826,110000,43507.46269
161,NW16EW,NW,0,12,1,5,1,2,1,0,0,0,0,1,7,1,2,1,1,1,0,0,15,24,14,20,30,16,58900,51928.57143,42500,32722.34273
162,NW16EX,NW,0,5,1,3,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,8,4,3,11,3,65500,57959.18367,110000,36586.53846
163,NW16EY,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,2,8,2,53300,47383.72093,32500,30549.45055
164,NW16HA,NW,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,2,10,2,44000,38511.45038,22500,24344.82759
165,NW16HB,NW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,33600,29545.45455,17500,18750
166,NW16HD,NW,0,8,1,3,1,0,1,0,0,0,0,1,5,2,0,1,0,1,0,0,6,17,7,5,18,6,55200,48860.29412,32500,30912.2807
